RLV Sizing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEO Mission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lng_LS=,143.456784,latg_LS=,42.504038,g0=,9.806650135,GM=,3.98601E+14,Re=,6378.142,Rp=,6356.757,Omega=,0.004178075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event Title,time,h,s,lng,latg,longiip,latgiip,ha,hp,inc,argp,asnd,tanm,vi,fpvgd,azvgd,weight,Fvac,Fr,eularGDB[1],eularGDB[2],eularGDB[0],qbi[0],qbi[1],qbi[2],qbi[3],axb,q,alphat,alpha,beta,alphaq,M,vr,va,P,Q,R,MASUDA.Elevation,OGASAWARA.Elevation,GUAM.Elevation,TAIKI.Elevation,TAIKI-SEIKA.Elevation,NEMURO.Elevation,weight,Vlossxb,Vlossg,Vlossaoa,Vlossbp,Vlossyzb,Videal,Vgain,MainEngine.Wp,2ndEngine.Wp
,25,1.011229625,0.046867309,143.4573541,42.50399809,143.4605768,42.50381757,-8.330962107,-6371.764279,42.3125075,270.1502306,53.39631032,179.9721509,364.0859667,13.62949717,90.11140725,26889.85195,495000,391603.4893,83.18371199,93.77891302,-1.304781407,0.406283825,0.047853407,-0.75514162,0.512254467,14.46527357,4145.149113,9.42334E-15,9.42334E-15,0,3.90612E-11,0.256858152,86.42084207,86.40480151,0,0,0,-7.745819646,-7.705686411,-14.54847642,3.498473128,-0.089259491,-0.596561158,26889.85195,-0.691824499,26.84824748,0.003924353,96.87770356,0,428.8128342,331.2421486,17797.37445,4683
,26,1.099321546,0.058105764,143.4574906,42.50398858,143.4614304,42.5037613,-8.201321437,-6371.701673,42.31255602,270.1776395,53.36578338,179.9705068,366.8747742,14.26734835,90.13486173,26728.58693,495000,392703.461,83.10646766,93.82748173,-1.25946298,0.405737687,0.048190501,-0.755428571,0.512232642,14.58370836,4565.45005,9.99557E-15,8.94031E-15,-4.47016E-15,4.56343E-11,0.27101139,91.22325655,91.07311451,0,0,0,-7.742948564,-7.702760534,-14.54693877,3.829031782,-0.047754336,-0.570777152,26728.58693,-0.79502699,29.21495148,0.003924353,100.7140814,0,447.2766874,345.7664215,17636.10943,4683
,27,1.192092362,0.071087105,143.4576482,42.50397757,143.4623709,42.50369875,-8.063678119,-6371.637674,42.31261474,270.2054722,53.33478007,179.9688068,369.7670876,14.91191607,90.15865115,26567.32191,495000,393851.5605,83.06096536,93.87196871,-1.21820186,0.405399248,0.048383811,-0.755602977,0.512225144,14.70477773,5011.450196,5.30894E-15,5.30894E-15,0,2.66055E-11,0.28554748,96.15941608,95.85497721,0,0,0,-7.739928252,-7.699679171,-14.54531875,4.176020797,-0.004047728,-0.543615646,26567.32191,-0.909183961,31.68806588,0.003924353,104.5314937,0,465.8522787,360.4104435,17474.84441,4683
,28,1.289661339,0.08583672,143.4578273,42.50396503,143.463399,42.50362978,-7.91770479,-6371.572546,42.31268375,270.2336191,53.30345064,179.9670495,372.7589775,15.56343205,90.18267458,26406.05688,495000,395047.7248,83.04823652,93.91286358,-1.180504194,0.405275438,0.048428744,-0.755661445,0.512232619,14.8285171,5483.58394,5.05087E-15,3.03052E-15,4.04069E-15,2.76969E-11,0.300477614,101.2301601,100.7527627,0,0,0,-7.736754863,-7.696438359,-14.54361425,4.539653056,0.041915996,-0.515040944,26406.05688,-1.035050805,34.26839999,0.003924353,108.3278936,0,484.5409688,375.1768669,17313.57939,4683
,29,1.39215141,0.102372046,143.458028,42.50395093,143.4645147,42.5035543,-7.763057682,-6371.506575,42.31276293,270.2619686,53.27194817,179.9652335,375.8463219,16.22217779,90.20682913,26244.79186,495000,396291.8195,83.0691802,93.95058131,-1.145950279,0.405372221,0.048321298,-0.755600872,0.512255539,14.95496162,5982.220823,8.66038E-15,8.66038E-15,0,5.18083E-11,0.315813625,106.4362544,105.7689604,0,0,0,-7.733424406,-7.693034018,-14.54182314,4.920131899,0.09019417,-0.485016248,26244.79186,-1.173406508,36.95678088,0.003924353,112.1011999,0,503.3441432,390.0683793,17152.31437,4683
,30,1.499689269,0.120702164,143.4582504,42.50393526,143.465717,42.50347225,-7.599375984,-6371.440069,42.31285199,270.2904072,53.24042792,179.9633577,379.0248377,16.88848199,90.23101035,26083.52684,495000,397583.6345,83.12456743,93.98547462,-1.114182121,0.405694621,0.048058041,-0.755418405,0.512294186,15.08414611,6507.660439,7.34154E-15,0,7.34154E-15,4.77762E-11,0.331568066,111.7783999,110.9061944,0,0,0,-7.729932745,-7.689461941,-14.53994321,5.317650808,0.140845838,-0.453503638,26083.52684,-1.325052596,39.75405983,0.003924353,115.8492999,0,522.2632134,405.0877034,16991.04934,4683
,31,1.612402607,0.140850011,143.4584949,42.50391795,143.4670321,42.50338094,-7.42638483,-6371.370819,42.3129569,270.3202785,53.20708039,179.9614166,382.3525946,17.55840208,90.25643658,25922.26182,495000,398922.846,82.68393017,94.25425184,-0.85087097,0.402650457,0.049877881,-0.756998651,0.51218927,15.2157309,7075.333642,7.47762E-15,2.62557E-15,-7.00151E-15,5.29067E-11,0.348128527,117.2611185,116.2922603,0,0,0,-7.72627575,-7.685717883,-14.5379722,5.732374038,0.193930417,-0.42046476,25922.26182,-1.490992587,42.66088635,0.003924353,119.5700514,0,541.2996169,420.2374154,16829.78432,4683
,32,1.730410721,0.162925071,143.4587627,42.50389889,143.4684951,42.50327682,-7.243844639,-6371.296215,42.31308676,270.3530862,53.16988324,179.9594031,385.8950115,18.22703592,90.28447016,25760.9968,495000,400308.9034,82.23302271,94.5082113,-0.602741912,0.399524298,0.051728815,-0.758604765,0.512077412,15.35004711,7672.779464,5.01297E-15,5.01297E-15,0,3.84634E-11,0.365172446,122.8909561,121.8172606,0,0,0,-7.722449796,-7.681797857,-14.53590797,6.164368955,0.249503154,-0.38586314,25760.9968,-1.672295729,45.6769396,0.003924353,123.2612889,0,560.454818,435.5200758,16668.5193,4683
,33,1.853831502,0.187063307,143.4590555,42.50387787,143.4701181,42.50315845,-7.051427467,-6371.216003,42.31324612,270.3889314,53.12870606,179.9573137,389.6578123,18.8933558,90.31520003,25599.73177,495000,401741.113,81.77406349,94.74819558,-0.368971644,0.396330883,0.053601329,-0.760228308,0.511958639,15.4871148,8300.177526,3.19343E-15,0,3.19343E-15,2.6506E-11,0.38271439,128.6715903,127.4840807,0,0,0,-7.718451381,-7.677697911,-14.53374834,6.613644674,0.307618475,-0.349662433,25599.73177,-1.869893925,48.80150076,0.003924353,126.9208307,0,579.7303088,450.9384267,16507.25428,4683
,34,1.982784055,0.213405196,143.459375,42.50385472,143.4719139,42.50302432,-6.84879745,-6371.129926,42.31344009,270.4279038,53.08343416,179.9551446,393.6463796,19.55634594,90.34870462,25438.46675,495000,403218.6674,81.30786055,94.97553775,-0.148251637,0.393075474,0.055491907,-0.761865938,0.511832602,15.62692119,8957.631882,6.29637E-15,-1.52709E-15,6.10838E-15,5.64006E-11,0.400770403,134.6067152,133.2959608,0,0,0,-7.714276972,-7.673414055,-14.53149114,7.080165798,0.368331231,-0.311825755,25438.46675,-2.084745774,52.03367402,0.003924353,130.546483,0,599.1276097,466.4952234,16345.98926,4683
